Response_ID,page,Start_language,Industry,role,size,Disruption_Natural_Disasters,Disruption_Supplier_Failures,Disruption_Cybersecurity_Threats,Disruption_Global_Crises,Disruption_Transportation_Delays,response_Increased_Inventory_Buffers,response_Diversified_Suppliers,response_Implemented_New_Technologies,response_Other,adoption_Artificial_Intelligence_(AI),adoption_Internet_of_Things_(IoT),adoption_Blockchain,adoption_Cloud_Computing,adoption_Robotic_and_Automation,adoption_Big_Data_Analytics,adoption_Simulation,adoption_Other,implemented_AI,implemented_IoT,implemented_Blockchain,implemented_Cloud_Computing,implemented_Robotics_and_Automation,implemented_Big_Data_Analytics,effective_technology_Rank_1,effective_technology_Rank_2,effective_technology_Rank_3,effective_technology_Rank_4,effective_technology_Rank_5,effective_technology_Rank_6,effective_technology_Rank_7,barriers_High_Implementation_Costs,barriers_Lack_of_Skilled_Workforce,barriers_Integration_Issues,barriers_Resistance_to_Change,technologies_effect_in_collaboration,resilience_collaboration_Cloud-based_platforms,resilience_collaboration_Blockchain_for_transparency,resilience_collaboration_AI-powered_predictive_analytics,resilience_collaboration_IoT_for_real-time_tracking,resilience_collaboration_Digital_twin_Simulations,effect_of_technologies_in real_time_data,visibility_and_control_Rank_1,visibility_and_control_Rank_2,visibility_and_control_Rank_3,visibility_and_control_Rank_4,visibility_and_control_Rank_5,visibility_and_control_Rank_6,further_adoption_issues_Financial_Constraints,further_adoption_issues_Technical_Challenges,further_adoption_issues_Regulatory_Issues,further_adoption_issues_Uncertainty_about_ROI,Further_insights
1,8,de-easy,Dienstleistungen,IT_Specialist,50,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,3_-_Pilot_Conducted,5_-_Fully_Implemented,"1_-_	Not_Implemented",4_-_Mostly_Implemented,4_-_Mostly_Implemented,3_-_Pilot_Conducted,Simulation,IoT,AI,Blockchain,,,,No,No,Yes,Yes,3,Yes,No,No,Yes,Yes,4,Scenario_Planning_and_Simulation,Real-Time_Data_Monitoring_and_Analytics,Automated_Decision_Support_Systems,Regulatory_Compliance_and_Risk_Management,Collaborative_Decision-Making_Frameworks,Vertrauenswürdige_Systeme_(Chain_of_trust),Yes,No,No,Yes,
2,2,de-easy,Maschinenbau,Logistikexperte,750,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,
3,4,de-easy,Bauindustrie,Gesamtprojektleiter,750,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,3_-_Pilot_Conducted,2_-_Planning_to_Implement,"1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented",3D_Druck_/_Additive_Fertigung,IoT,,,,,,No,Yes,No,Yes,4,No,No,Yes,Yes,No,3,,,,,,,N/A,N/A,N/A,N/A,
4,4,de-easy,Bau,Einiauf,750,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3_-_Pilot_Conducted,2_-_Planning_to_Implement,4_-_Mostly_Implemented,"1_-_	Not_Implemented","1_-_	Not_Implemented",2_-_Planning_to_Implement,Blockchain,AI,Simulation,Big_Data_Analytics,Robotics_&_Automation,Cloud_Computing,IoT,No,Yes,No,No,4,Yes,No,No,No,No,2,,,,,,,N/A,N/A,N/A,N/A,
5,8,en,Consumer_Goods,Supply_Chain_Manager,500,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,2_-_Planning_to_Implement,2_-_Planning_to_Implement,"1_-_	Not_Implemented",2_-_Planning_to_Implement,"1_-_	Not_Implemented",5_-_Fully_Implemented,Big_Data_Analytics,,,,,,,Yes,No,No,No,4,Yes,No,No,No,No,3,Scenario_Planning_and_Simulation,Real-Time_Data_Monitoring_and_Analytics,Collaborative_Decision-Making_Frameworks,Automated_Decision_Support_Systems,Regulatory_Compliance_and_Risk_Management,Proper_Maintenance_of_machines,Yes,No,No,No,Make_machines_as_work_in_more_than_one_power._
6,2,de-easy,Milchwirtschaft_,Operations_Manager,750,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,
7,8,en,FMCG,Operations_Manager,750,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,2_-_Planning_to_Implement,"1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented",4_-_Mostly_Implemented,4_-_Mostly_Implemented,Robotics_&_Automation,,,,,,,No,Yes,No,No,3,Yes,No,No,No,No,4,Regulatory_Compliance_and_Risk_Management,Real-Time_Data_Monitoring_and_Analytics,Collaborative_Decision-Making_Frameworks,Scenario_Planning_and_Simulation,Automated_Decision_Support_Systems,Single_chain_controlling_,No,Yes,No,No,The_fast_decision_making_using_new_technology_and_AI_can_solve_most_of_the_resiliences.
8,8,en,Food_processing_plant_,Machine_operator_,750,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,2_-_Planning_to_Implement,2_-_Planning_to_Implement,3_-_Pilot_Conducted,3_-_Pilot_Conducted,5_-_Fully_Implemented,4_-_Mostly_Implemented,Robotics_&_Automation,,,,,,,Yes,No,No,No,4,No,No,No,No,Yes,4,Real-Time_Data_Monitoring_and_Analytics,Automated_Decision_Support_Systems,Collaborative_Decision-Making_Frameworks,Regulatory_Compliance_and_Risk_Management,Scenario_Planning_and_Simulation,Monitoring_the_supply_chain_begin_to_end._,No,Yes,No,No,
9,8,en,Food_Manufacturing,Machine_Operator,750,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,Big_Data_Analytics,Cloud_Computing,,,,,,No,No,Yes,No,4,Yes,No,No,No,No,4,Collaborative_Decision-Making_Frameworks,Automated_Decision_Support_Systems,Real-Time_Data_Monitoring_and_Analytics,Regulatory_Compliance_and_Risk_Management,Scenario_Planning_and_Simulation,F,No,Yes,No,No,
10,7,en,Consumer_Goods,Operations_Manager,750,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,"1_-_	Not_Implemented",3_-_Pilot_Conducted,3_-_Pilot_Conducted,3_-_Pilot_Conducted,2_-_Planning_to_Implement,2_-_Planning_to_Implement,Robotics_&_Automation,Cloud_Computing,,,,,,No,Yes,No,No,3,No,No,Yes,No,No,4,Real-Time_Data_Monitoring_and_Analytics,Automated_Decision_Support_Systems,Scenario_Planning_and_Simulation,Regulatory_Compliance_and_Risk_Management,Collaborative_Decision-Making_Frameworks,Ok,Yes,No,No,No,
