response_id,date,page,language,seed,industry,role,company_size,natural_disasters,supplier_failures,cybersecurity_threats,global_crises,transportation_delays,other_disruptions,increased_inventory_buffers,diversified_suppliers,implemented_new_technologies,other_responses,artificial_intelligence_ai,internet_of_things_iot,blockchain,cloud_computing,robotics_and_automation,big_data_analytics,simulation,other,implemented_ai,implemented_iot,implemented_blockchain,implemented_cloud_computing,implemented_robotics_and_automation,implemented_big_data_analytics,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,high_implementation_costs,lack_of_skilled_workforce,Integration_issues,resistance_to_change,technologies_improved_communication_and_coordination,"Cloud-based_platforms_(e.g.,_ERP,_SCM_software)",blockchain_for_transparency,ai_powered_predictive_analytics,iot_for_real_time_tracking,digital_twin_amp_simulations,Inventory Planning Software,information_sharing_and_real_time_decision_making,decision-making_and_control_mechanisms_Rank_1,decision-making_and_control_mechanisms_Rank_2,decision-making_and_control_mechanisms_Rank_3,decision-making_and_control_mechanisms_Rank_4,decision-making_and_control_mechanisms_Rank_5,decision-making_and_control_mechanisms_Rank_7,decision-making_and_control_mechanisms_Rank_8,financial_constraints,technical_challenges,regulatory_issues,uncertainty_about_roi,other,emerging_technologies_adoption,further_insights
1,,,en,2078637252,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,de-easy,262751971,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,de-easy,416692272,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1,de-easy,791071402,Planning industry,Human resources management,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1,en,1721395889,automotive,Supply Chain Manager,large,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1/1/1980 0:00,8,de-easy,927430128,Services,IT Specialist,small,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Yes,Yes,No,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,5,1,4,4,3,Simulation,IoT,AI,Blockchain,3D printing / additive manufacturing,,,No,No,Yes,Yes,3,Yes,No,No,Yes,Yes,No,4,Scenario Planning and Simulation,Real-Time Data Monitoring and Analytics,Automated Decision Support Systems,Regulatory Compliance and Risk Management,Collaborative Decision-Making Frameworks,Trustworthy systems (chain of trust),Trustworthy systems,Yes,No,No,Yes,Management conviction,Quantemcomputing,
7,,2,de-easy,1843023622,Mechanical engineering,Logistics expert,large,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Yes,Yes,No,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,4,de-easy,814322232,Construction industry,Overall project manager,large,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Yes,Yes,Yes,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,2,1,1,1,1,Other,IoT,,,,,,No,Yes,No,Yes,4,No,No,Yes,Yes,No,No,3,,,,,,,,,,,,,,
9,,,de-easy,483946799,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,de-easy,1789085499,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,4,de-easy,206238085,Building,Einiauf,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Yes,No,No,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,4,1,1,2,Blockchain,AI,Simulation,Big Data Analytics,Robotics & Automation,Cloud Computing,IoT,No,Yes,No,No,4,Yes,No,No,No,No,No,2,,,,,,,,,,,,,,
12,,,en,1579331330,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1/1/1980 0:00,8,en,1809467868,consumer goods,Supply Chain Manager,medium,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,No,Yes,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,2,1,2,1,5,Big Data Analytics,,,,,,,Yes,No,No,No,4,Yes,No,No,No,No,No,3,Scenario Planning and Simulation,Real-Time Data Monitoring and Analytics,Collaborative Decision-Making Frameworks,Automated Decision Support Systems,Regulatory Compliance and Risk Management,Proper Maintenance of machines,Monitoring the supply chain begin to end. ,Yes,No,No,No,2,Yes,make machines as work in more than one power.
14,,2,de-easy,2027617643,Dairy farming,Operations Manager,large,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Yes,No,Yes,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,en,1240001148,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,en,1805242232,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
